t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092552.4364,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.4563,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.4763,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.4962,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.5163,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.5365,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.5562,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.5762,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.5963,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.6163,1500,1500,1698,1500,1939,1939,1500,1500,20.7277255,-103.56685867,276.97,rc
1775092552.6363,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.6564,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.6763,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.6963,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.7163,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.7367,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686117,275.93,rc
1775092552.7564,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686183,276.28,rc
1775092552.7761,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686183,276.28,rc
1775092552.7963,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686183,276.28,rc
1775092552.8161,1500,1500,1698,1500,1939,1939,1500,1500,20.72772583,-103.56686183,276.28,rc
